address,longitude,latitude
Grant,-122.6297169,45.5378417
Duniway,-122.6822068,45.5040702
Fernhill,-122.6235977,45.565135
Wells,-122.6916924,45.4783146
Cleveland,-122.6334194,45.4976472
Franklin,-122.6083779,45.5033828
Lewis & Clark,-122.6730279,45.4520602
